"subject","predicate","object","direction","evidence","sentence","article","network"
"MYD88","activates","ERK","right","positive","Both the MyD88 and TRIF-dependent cascades are known to activate NF-κB ERK and JNK pathways.","","Amazon Mech Turk Batch"
"MYD88","activates","JNK","right","positive","Both the MyD88 and TRIF-dependent cascades are known to activate NF-κB ERK and JNK pathways.","","Amazon Mech Turk Batch"
"ERK","activates","MYD88","right","positive","In addition MyD88 signaling activates MAP kinases such as p38 JNK and ERK which are also involved in this proinflammatory response.","","Amazon Mech Turk Batch"
"ERK","involved in","MYD88","right","positive","In addition MyD88 signaling activates MAP kinases such as p38 JNK and ERK which are also involved in this proinflammatory response.","","Amazon Mech Turk Batch"
"HRAS","response to","P19ARF","right","positive","The observations that p19Arf and p53 were upregulated in papillomas that p53 expression was reduced in p19 Arf-null papillomas and that loss of p19Arf had a similar effect on tumor progression as that of loss of p53 provide strong in vivo support of the model whereby p19Arf regulates p53 in response to mutational activation of Hras.","","Amazon Mech Turk Batch"
"HRAS","activation of","P19ARF","right","positive","The observations that p19Arf and p53 were upregulated in papillomas that p53 expression was reduced in p19 Arf-null papillomas and that loss of p19Arf had a similar effect on tumor progression as that of loss of p53 provide strong in vivo support of the model whereby p19Arf regulates p53 in response to mutational activation of Hras.","","Amazon Mech Turk Batch"
"HRAS","response to","P53","right","positive","The observations that p19Arf and p53 were upregulated in papillomas that p53 expression was reduced in p19 Arf-null papillomas and that loss of p19Arf had a similar effect on tumor progression as that of loss of p53 provide strong in vivo support of the model whereby p19Arf regulates p53 in response to mutational activation of Hras.","","Amazon Mech Turk Batch"
"HRAS","activation of","P53","right","positive","The observations that p19Arf and p53 were upregulated in papillomas that p53 expression was reduced in p19 Arf-null papillomas and that loss of p19Arf had a similar effect on tumor progression as that of loss of p53 provide strong in vivo support of the model whereby p19Arf regulates p53 in response to mutational activation of Hras.","","Amazon Mech Turk Batch"
"ERK","activation","PI3","right","positive","PI3 kinase is important for Ras MEK and Erk activation of Epo-stimulated human erythroid progenitors","","Amazon Mech Turk Batch"
"ERK","phosphorylates","LYN","right","positive","Jak2 primarily enlists members of the signal transducer and activator of transcription(STAT) family and Lyn phosphorylates a number of adaptor molecules linking the G-CSF receptor to phosphatidylinositol 3'-kinase and the extracellular signal-regulated kinase(Erk) pathways[].","","Amazon Mech Turk Batch"
"ERK1","controls","FGFR2","right","positive","We observed in the Fgfr2+/P253R neurocranium an increase in phosphorylated p38 as well as ERK1/2 whereas phosphorylated AKT and PKCα were not obviously changed as compared to those of wild-type controls.","","Amazon Mech Turk Batch"
"TRIB1","activate","ERK","right","positive","In addition TRIB1 another gene repressed by phenol-rich olive oil is involved in MAPK signaling participating in the activation of ERK proteins[] and being up regulated in human atherosclerotic plaques[].","","Amazon Mech Turk Batch"
"NAMPT","activates","ERK","right","positive","Recent data provide evidence that NAMPT is up-regulated by hypoxia through hypoxia-inducible factor 1 and demonstrate that NAMPT promotes in vitro and in vivo angiogenesis via activation of mitogen-activated protein kinase ERK-dependent pathway thus suggesting that NAMPT/visfatin might play important roles in various angiogenesis-related disorders.","","Amazon Mech Turk Batch"
"ERK1","activation","TOB1","right","positive","Activation of the ERK1/2 pathway is associated with induction of the positive cell cycle regulators cyclin D1[] and c-Myc[] and with down-regulation of anti-proliferative proteins such as Tob1[] Foxo3a[] and p21[].","","Amazon Mech Turk Batch"
"ERK","expression","DUSP6","right","positive","To probe the molecular mechanism by which ERK activation might influence DUSP6/MKP-3 expression levels we performed both a bioinformatic and a functional analysis of the murine DUSP6/MKP-3 gene promoter.","","Amazon Mech Turk Batch"
"DUSP6","interacts with","ERK2","right","positive","Since then several papers have attempted to elucidate the mechanism of catalytic activation of DUSP6 and to define the regions of interaction between DUSP6 and ERK2.","","Amazon Mech Turk Batch"
"HRAS","involved in","MUCDHL","right","positive","Also in these regions are 2 possible oncogenes(1 previously known–IGF2 1–new HRAS) one gene expressed in the fetal kidney which may be involved in adhesion(MUCDHL[]) and one known to contribute to cancer progression(FGFR3).","","Amazon Mech Turk Batch"
"HRAS","involved in","FGFR3","right","positive","Also in these regions are 2 possible oncogenes(1 previously known–IGF2 1–new HRAS) one gene expressed in the fetal kidney which may be involved in adhesion(MUCDHL[]) and one known to contribute to cancer progression(FGFR3).","","Amazon Mech Turk Batch"
