"","subject","predicate","object","direction","evidence","sentence","article","network"
"7277","DDX17","interacts with","CYR61","right","positive","","","Pathway Commons"
"33019","DNAJC6","interacts with","TJP1","right","positive","","","Pathway Commons"
"16282","GLTP","interacts with","RAB15","right","positive","","","Pathway Commons"
"38153","PKC","activation in","GK","right","positive","In support of the possibility that hyperinsulinemia contributed to PKC activation in GK soleus muscles, we found that DAG levels were increased, and PKC was translocated, in soleus muscles of both (1) normoglycemic hyperinsulinemic obese/aged rats and (2) mildly hyperglycemic hyperinsulinemic obese/Zucker rats. ","PubMed:8826977","Medline Abstracts"
"18282","PDCD6","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"18368","P4HA1","interacts with","TOP1","right","positive","","","Pathway Commons"
"3131","HNRNPH1","functional_interaction","SFRS1","right","positive","","","Functional Interaction"
"15844","CSNK1D","interacts with","SRC","right","positive","","","Pathway Commons"
"10938","HAT1","interacts with","FLNB","right","positive","","","Pathway Commons"
"36076","HDLBP","interacts with","MDH1","right","positive","","","Pathway Commons"
"9015","CYC1","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"6207","HK2","interacts with","PDIA3","right","positive","","","Pathway Commons"
"23296","RRBP1","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"29517","PLXNA2","interacts with","SND1","right","positive","","","Pathway Commons"
"28661","TUBA4A","interacts with","SKA1","right","positive","","","Pathway Commons"
"18689","MTPAP","interacts with","KIAA0802","right","positive","","","Pathway Commons"
"21980","PTPN11","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"13604","IL12RB1","in same component","IL23A","right","positive","","","Pathway Commons"
"16298","GLTP","interacts with","SYN2","right","positive","","","Pathway Commons"
"4318","NRAS","functional_interaction","PIK3CD","right","positive","","","Functional Interaction"
"25165","SRP9","interacts with","TPM1","right","positive","","","Pathway Commons"
"19820","JUP","interacts with","TCF7L2","right","positive","","","Pathway Commons"
"25208","SERPINB5","interacts with","CPS1","right","positive","","","Pathway Commons"
"25015","SMURF2","interacts with","SMAD2","right","positive","","","Pathway Commons"
"33020","DNAJC6","interacts with","SLC30A3","right","positive","","","Pathway Commons"
"2261","EPHA4","functional_interaction","RASA1","right","positive","","","Functional Interaction"
"24728","SIRT1","reacts with","HIST1H1E","right","positive","","","Pathway Commons"
"2605","FN1","functional_interaction","LGALS3BP","right","positive","","","Functional Interaction"
"27710","TOP1","interacts with","SLIT2","right","positive","","","Pathway Commons"
"20401","MDH1","interacts with","PSMA2","right","positive","","","Pathway Commons"
"3537","IL5RA","functional_interaction","SOCS1","right","positive","","","Functional Interaction"
"2833","FYN","functional_interaction","VEGFA","right","positive","","","Functional Interaction"
"16574","NUP153","interacts with","TOP1","right","positive","","","Pathway Commons"
"24630","IARS2","interacts with","MDH1","right","positive","","","Pathway Commons"
"21057","QTRTD1","interacts with","PNMA2","right","positive","","","Pathway Commons"
"12492","HIST1H1E","interacts with","MFAP2","right","positive","","","Pathway Commons"
"13406","ICAM1","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"34281","SUCLA2","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"16227","GLTP","interacts with","CYFIP1","right","positive","","","Pathway Commons"
"36198","MMP2","interacts with","SRRM2","right","positive","","","Pathway Commons"
"24290","SPTBN1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"29670","PLXNA1","interacts with","PTPRE","right","positive","","","Pathway Commons"
"18286","SERBP1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"33760","STX1A","interacts with","EEF1A1","right","positive","","","Pathway Commons"
"8096","EFNB1","interacts with","CBL","right","positive","","","Pathway Commons"
"16881","NOLC1","interacts with","CLTC","right","positive","","","Pathway Commons"
"3569","IL8","functional_interaction","PF4","right","positive","","","Functional Interaction"
"1202","COL27A1","functional_interaction","DKFZp686A1668","right","positive","","","Functional Interaction"
"6118","HK2","interacts with","PRKACB","right","positive","","","Pathway Commons"
"29797","PRNP","interacts with","DBN1","right","positive","","","Pathway Commons"
"10634","DNAJC11","interacts with","STX1A","right","positive","","","Pathway Commons"
"8602","EPHA7","interacts with","EPHA2","right","positive","","","Pathway Commons"
"35199","TPM1","interacts with","SFXN3","right","positive","","","Pathway Commons"
"28927","TUBA4A","reacts with","TUBA1A","right","positive","","","Pathway Commons"
"27060","TPM1","interacts with","RPS9","right","positive","","","Pathway Commons"
"2231","EPHA2","functional_interaction","PIK3CA","right","positive","","","Functional Interaction"
"8669","DYNC1H1","interacts with","MTPAP","right","positive","","","Pathway Commons"
"15066","CSNK1E","interacts with","PER3","right","positive","","","Pathway Commons"
"15497","LRPPRC","interacts with","MFAP2","right","positive","","","Pathway Commons"
"21767","RPLP2","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"3571","IL8","functional_interaction","POU2F1","right","positive","","","Functional Interaction"
"25031","SMURF2","interacts with","TMEM139","right","positive","","","Pathway Commons"
"32123","BMPR2","in same component","PPP1R15A","right","positive","","","Pathway Commons"
"13098","ITPR3","interacts with","IQGAP1","right","positive","","","Pathway Commons"
"3491","IL20RB","functional_interaction","SOCS1","right","positive","","","Functional Interaction"
"18591","ACTN4","interacts with","SRRM2","right","positive","","","Pathway Commons"
"6566","HNRNPH1","interacts with","FUCA1","right","positive","","","Pathway Commons"
"12566","EEF1G","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"11292","PDAP1","interacts with","PDGFA","right","positive","","","Pathway Commons"
"26315","PYCR1","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"10926","GEMIN8","interacts with","DDX17","right","positive","","","Pathway Commons"
"34330","MLL3","interacts with","PA1","right","positive","","","Pathway Commons"
"14482","IL23R","metabolic catalysis","IL1B","right","positive","","","Pathway Commons"
"1212","COL27A1","functional_interaction","ITGA2","right","positive","","","Functional Interaction"
"28828","TUBA4A","interacts with","MAP1LC3A","right","positive","","","Pathway Commons"
"37786","STAT3","activation by","LIF","left","positive","In carcinoma cell lines, the major trends included a strong STAT3 activation by LIF (ADLC, H125), an increased (ADLC, H23) or decreased STAT3 activation by IL-6 (H125, H324), a decreased ERK activation by EGF (H522), and a treatment-independent, constitutive activation of the ERK pathway (H23). ","DOI:10.1186/1471-2407-5-145,PubMed:16271139,PubMed Central:1289280,Other:1471-2407-5-145","Pubmed Open-Access Full Texts"
"24165","NEFH","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"19906","PPARG","reacts with","FOS","right","positive","","","Pathway Commons"
"8015","DOK1","interacts with","LYN","right","positive","","","Pathway Commons"
"28600","TUBA4A","interacts with","RPS28","right","positive","","","Pathway Commons"
"29627","JUP","interacts with","HK2","right","positive","","","Pathway Commons"
"28865","TUBA4A","interacts with","CALD1","right","positive","","","Pathway Commons"
"6745","HNRNPH1","interacts with","RAB1A","right","positive","","","Pathway Commons"
"37455","CAV2","interacts with","LYN","right","positive","","","Pathway Commons"
"16849","NGF","reacts with","MYD88","right","positive","","","Pathway Commons"
"9452","GANAB","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"15680","CSNK1D","in same component","SDCCAG8","right","positive","","","Pathway Commons"
"27569","TOP1","interacts with","IGF2BP2","right","positive","","","Pathway Commons"
"38189","SN","induced","FOS","right","positive","Morphine injected into lateral SN induced Fos in dorsolateral striatum and globus pallidus. ","PubMed:9334431","Medline Abstracts"
